"","V1","pvals_Basal","pvals_Basal_myo","pvals_L11","pvals_L12","pvals_L2"
"317","MKI67",0.03475,0.65323,0.65736,0.67381,0.66592
"318","MLPH",0.71623,0.78064,0.30744,0.5247,0.00015
"319","MMP7",0.1936,0.33399,0.00345,0.30224,0.63892
"320","MMP9",0.32865,0.03925,0.62599,0.60018,0.63216
"321","MOAP1",0.40772,0.27833,0.01771,0.16686,0.15758
"322","MON2",0.04942,0.25217,0.3759,0.1669,0.2299
"323","MPP7",0.58886,0.39103,0.85075,0.70043,0.04262
"324","MRAS",0.06759,0.02922,0.0652,0.3259,0.6575
"325","MREG",0.46117,0.21461,0.26863,0.00989,0.16042
"326","MRPL13",0.0437,0.33555,0.32594,0.38428,0.2825
"327","MRPL43",0.0445,0.4952,0.38801,0.3119,0.30547
"328","MRPS24",0.51406,0.58845,0.03001,0.38503,0.62786
"329","MRPS5",0.30593,0.21418,0.30061,0.17318,0.04602
"330","MRS2",0.53434,0.22693,0.54816,0.04984,0.35782
"331","MS4A7",0.73477,0.71774,0.70883,0.71596,0.03945
"332","MSL3",0.15742,0.04346,0.27315,0.20314,0.53179
"333","MTAP",0.41413,0.24561,0.42986,0.12346,0.04197
"334","MTIF2",0.60359,0.37212,0.34505,0.04244,0.15464
"335","MTMR2",0.31919,0.09818,0.21594,0.01974,0.10985
"336","MTUS1",0.30249,0.49809,0.03395,0.03891,0.31916
"337","MUC16",0.71048,0.71089,0.00569,0.5128,0.69074
"338","MUC5B",0.58567,0.68968,0.00596,0.4328,0.66638
"339","MYBL2",0.00396,0.06954,0.43826,0.63628,0.40308
"340","MYB",0.54791,0.60413,0.37075,0.79836,0.00125
"341","MYO5C",0.98687,0.7777,0.5575,0.25161,0.00152
"342","NARF",0.28685,0.04482,0.11175,0.16091,0.28103
"343","NAT1",0.84042,0.75699,0.70438,0.53616,0.00211
"344","NAV1",0.23368,0.04675,0.77025,0.68228,0.74629
"345","NCALD",0.45295,0.56662,0.01275,0.54257,0.67842
"346","NCAPG2",0.08104,0.03793,0.41299,0.53552,0.57693
"347","NCAPG",0.00311,0.66911,0.4597,0.62722,0.51275
"348","NCCRP1",0.72665,0.72255,0.0284,0.523,0.56047
"349","NCK1",0.24632,0.45922,0.02177,0.28554,0.34162
"350","NCK2",0.02001,0.09887,0.13463,0.26034,0.50762
"351","NCOA7",0.04426,0.18716,0.05046,0.35244,0.53424
"352","NCS1",0.03995,0.04264,0.57057,0.48938,0.51693
"353","NEK2",0.01983,0.63636,0.38649,0.65131,0.59512
"354","NFE2L3",0.22343,0.03393,0.44669,0.18159,0.18548
"355","NIP7",0.32165,0.50545,0.31635,0.02845,0.33407
"356","NKAIN1",0.50055,0.63299,0.19166,0.01822,0.38062
"357","NLRC5",0.53733,0.64021,0.30845,0.01041,0.2947
"358","NOL10",0.26923,0.53304,0.27979,0.02445,0.0304
"359","NOP2",0.37619,0.43518,0.37382,0.42122,0.00211
"360","NPDC1",0.09889,0.02459,0.03431,0.3543,0.49476
"361","NPNT",0.57483,0.68697,0.01918,0.37739,0.01069
"362","NR2F2",0.47565,0.51033,0.04241,0.50255,0.38259
"363","NRBP2",0.25058,0.01942,0.58524,0.60169,0.57096
"364","NSMCE1",0.02128,0.30956,0.41206,0.28127,0.20601
"365","NT5DC2",0.32154,0.00595,0.35032,0.02664,0.42404
"366","NTN4",0.44247,0.1152,0.6929,0.47289,0.03301
"367","NUDCD1",0.30172,0.33698,0.20129,0.01322,0.27774
"368","NUDT4",0.03364,0.31925,0.22553,0.43662,0.07263
"369","NUF2",0.04472,0.65213,0.62396,0.64535,0.63026
"370","NUP88",0.49025,0.44003,0.27185,0.05989,0.04764
"371","NUP93",0.25208,0.50174,0.29068,0.0195,0.00854
"372","NUSAP1",0.00407,0.62954,0.46849,0.59464,0.53263
"373","NXN",0.02768,0.05018,0.25101,0.46926,0.66223
"374","ODC1",0.24658,0.45986,0.3592,0.02997,0.0077
"375","OGFOD1",0.51972,0.35761,0.35356,0.3106,0.02329
"376","OLFM2",0.44224,0.01758,0.50145,0.59044,0.62992
"377","OPN3",0.45294,0.31075,0.54812,0.32186,0.01574
"378","PADI2",0.51051,0.34897,0.00042,0.57627,0.66662
"379","PANK3",0.47376,0.47148,0.3704,0.0474,0.03492
"380","PAPD4",0.29246,0.62142,0.01319,0.01617,0.26522
"381","PAPD7",0.04293,0.07809,0.54977,0.31822,0.30763
"382","PARD6B",0.61892,0.66175,0.39659,0.12232,0.04586
"383","PARP12",0.57661,0.48801,0.42443,0.30446,0.01425
"384","PATZ1",0.45912,0.43232,0.00941,0.34738,0.50412
"385","PCBP4",0.38447,0.03504,0.46598,0.45766,0.56721
"386","PCDH1",0.78192,0.786,0.14043,0.00411,0.44892
"387","PCGF2",0.00426,0.27455,0.30073,0.23849,0.64517
"388","PCSK6",0.59584,0.75629,0.71974,0.69711,0.00719
"389","PDE7A",0.00874,0.10189,0.2758,0.59588,0.53841
"390","PDK2",0.0421,0.13939,0.25219,0.59371,0.51787
"391","PDK3",0.70623,0.67963,0.04906,0.46075,0.47287
"392","PELI1",0.58622,0.30739,0.00848,0.00162,0.48038
"393","PGM2",0.54101,0.51703,0.45631,0.17416,0.036
"394","PGR",0.0192,0.06927,0.8467,0.79293,0.20072
"395","PHGDH",0.22417,0.01492,0.11011,0.40763,0.55215
"396","PIK3AP1",0.5492,0.5671,0.01211,0.50609,0.68388
"397","PIM1",0.50226,0.4006,0.02326,0.01255,0.17963
"398","PIP",0.78423,0.77535,0.23075,0.37705,0.01861
"399","PKIB",0.68105,0.87005,0.37481,0.33044,0.02494
"400","PKP1",0.07848,0.00841,0.47166,0.36957,0.59057
"401","PLA2G12A",0.02906,0.14244,0.31434,0.40313,0.12621
"402","PLAT",0.05078,0.01797,0.84562,0.84282,0.49554
"403","PLCH1",0.60813,0.58239,0.01544,0.60681,0.61766
"404","PLEKHA6",0.55571,0.6989,0.32931,0.36128,0.01451
"405","PLEKHB1",0.54027,0.08918,0.01467,0.56654,0.66447
"406","PLEKHF2",0.78963,0.53987,0.13161,0.01932,0.08681
"407","PLEKHG3",0.47892,0.49134,0.21809,0.03609,0.37902
"408","PLEKHO1",0.04149,0.06288,0.65153,0.6264,0.51798
"409","PLIN2",0.51008,0.28297,0.20958,0.13196,0.03686
"410","PLK1",0.00135,0.51134,0.39004,0.47195,0.28673
"411","PLSCR1",0.61459,0.48221,0.01888,0.18293,0.35537
"412","PNPT1",0.52126,0.49552,0.38517,0.29558,0.00351
"413","PNP",0.483,0.28557,0.36588,0.20424,0.02517
"414","POLD4",0.26218,0.09549,0.03393,0.31209,0.41981
"415","POLR3C",0.42955,0.592,0.2384,0.00862,0.34634
"416","POLR3E",0.5522,0.51327,0.26386,0.00674,0.28201
"417","PPARD",0.37171,0.38199,0.35713,0.00424,0.476
"418","PPIL1",0.44712,0.42604,0.58483,0.13494,0.0382
"419","PPM1H",0.73742,0.72134,0.04933,0.40745,0.44305
"420","PPP1R3C",0.52189,0.609,0.32345,0.04679,0.5982
"421","PRC1",0.01044,0.48921,0.5021,0.51473,0.46959
"422","PREX1",0.71131,0.7022,0.68549,0.68018,0.04017
"423","PRKAR2B",0.77161,0.75917,0.01291,0.63897,0.6089
"424","PRKD3",0.02043,0.08541,0.36514,0.23408,0.40549
"425","PRKX",0.21432,0.15586,0.00664,0.11723,0.39203
"426","PROM1",0.49781,0.57415,0.00026,0.31045,0.56528
"427","PRR15L",0.76622,0.78239,0.29502,0.60754,0.03316
"428","PRR15",0.60711,0.61159,0.77169,0.77264,0.04297
"429","PSAT1",0.32879,0.03224,0.32601,0.33318,0.45486
"430","PSD3",0.40817,0.04496,0.64181,0.19855,0.3122
"431","PTGER3",0.79219,0.99068,0.6623,0.72265,0.00955
"432","PTP4A3",0.69446,0.36207,0.01103,0.56104,0.59976
"433","PTPN13",0.07547,0.04724,0.73266,0.76034,0.36903
"434","PTPN2",0.33307,0.24113,0.0432,0.31498,0.40885
"435","PTPRB",0.71235,0.77661,0.34753,0.00371,0.65668
"436","PTPRT",0.01187,0.10924,0.84062,0.87369,0.85552
"437","PUS7",0.41407,0.57476,0.58481,0.14477,0.04842
"438","PVR",0.53656,0.39001,0.44383,0.03499,0.00702
"439","PWP2",0.24751,0.00898,0.60978,0.51143,0.39107
"440","QDPR",0.44651,0.42827,0.03262,0.40454,0.1179
"441","RAB11FIP3",0.04142,0.06581,0.33616,0.15722,0.41207
"442","RAB12",0.04736,0.48635,0.19526,0.26906,0.19425
"443","RAB21",0.401,0.25522,0.15645,0.03522,0.29875
"444","RABL3",0.5088,0.50385,0.5967,0.22636,0.03091
"445","RACGAP1",0.03571,0.34774,0.49067,0.54462,0.42781
"446","RALGPS2",0.57039,0.45722,0.32763,0.00041,0.04139
"447","RANBP1",0.04231,0.11071,0.2684,0.23968,0.19328
"448","RAP2A",0.23051,0.02334,0.35501,0.37788,0.35871
"449","RAP2B",0.26353,0.1745,0.10494,0.01632,0.36733
"450","RAP2C",0.39722,0.34962,0.42204,0.03601,0.52903
"451","RARA",0.29444,0.00837,0.22929,0.54688,0.21163
"452","RARRES1",0.04611,0.22907,0.02403,0.42897,0.56525
"453","RASA1",0.16563,0.09106,0.04754,0.30989,0.42035
"454","RASSF4",0.11882,0.47212,0.00976,0.37795,0.4795
"455","RB1",0.12583,0.03353,0.28477,0.2943,0.47365
"456","RBM38",0.02657,0.03525,0.36626,0.25042,0.43738
"457","RCAN1",0.58651,0.59637,0.01514,0.11891,0.44607
"458","RCC1",0.44097,0.42979,0.24385,0.0156,0.10093
"459","RDH10",0.6636,0.58523,0.01732,0.14823,0.03819
"460","REEP6",0.36695,0.65813,0.14476,0.3797,0.01289
"461","RERG",0.62567,0.6464,0.02233,0.31742,0.01063
"462","REXO2",0.039,0.28674,0.35851,0.40172,0.28956
"463","RGMA",0.45685,0.39596,0.01539,0.04005,0.65756
"464","RGS2",0.59233,0.62183,0.04733,0.12354,0.57202
"465","RIOK1",0.33276,0.39226,0.43229,0.11843,0.04507
"466","RIPK2",0.56879,0.4884,0.03163,0.00501,0.13448
"467","RNASE4",0.15676,0.06443,0.00905,0.55099,0.54145
"468","RND3",0.22276,0.4226,0.28807,0.41233,0.02418
"469","RNF141",0.23846,0.06971,0.15624,0.03603,0.35825
"470","RNF144A",0.4968,0.02938,0.59021,0.46774,0.60147
"471","RNF145",0.03701,0.17229,0.03558,0.22793,0.61617
"472","RNF19B",0.11321,0.04654,0.21356,0.32922,0.5147
"473","ROGDI",0.36328,0.03769,0.3745,0.55605,0.53987
"474","RRM2",0.0069,0.34679,0.32742,0.65408,0.48223
"475","RUNDC1",0.3765,0.37481,0.36308,0.18056,0.00577
"476","S100A1",0.35664,0.61522,0.00646,0.33197,0.65772
"477","S100A9",0.22909,0.33528,0.02282,0.40925,0.57136
"478","SCCPDH",0.73315,0.71313,0.45947,0.3422,0.00833
"479","SCGB1D2",0.28434,0.74583,0.00871,0.53812,0.86488
"480","SCGB2A2",0.26016,0.52141,0.00342,0.27617,0.66821
"481","SCNN1A",0.03001,0.01894,0.26119,0.30656,0.28215
"482","SCUBE2",0.52326,0.31908,0.85546,0.99049,0.00118
"483","SEC14L2",0.08859,0.02038,0.49633,0.74512,0.54775
"484","SEL1L3",0.12358,0.02794,0.18821,0.48078,0.55671
"485","SELENBP1",0.72889,0.72238,0.00308,0.57577,0.4293
"486","SEMA3F",0.00813,0.02052,0.58919,0.8258,0.61666
"487","SERPINA5",0.27651,0.02419,0.64429,0.80689,0.45711
"488","SERPINB5",0.02633,0.03393,0.56242,0.60183,0.67496
"489","SFRP1",0.18037,0.19192,0.01201,0.23567,0.6573
"490","SH3GLB2",0.54864,0.01901,0.16622,0.26348,0.42665
"491","SH3KBP1",0.10939,0.04678,0.22851,0.39249,0.40284
"492","SH3RF1",0.23579,0.35481,0.42698,0.04337,0.34148
"493","SIDT1",0.57216,0.74787,0.30558,0.75924,0.01162
"494","SIKE1",0.44636,0.39684,0.14806,0.0366,0.18073
"495","SLA",0.70007,0.69839,0.65507,0.02433,0.6717
"496","SLC12A2",0.36816,0.2335,0.04024,0.43285,0.98641
"497","SLC16A1",0.01371,0.03968,0.60124,0.34835,0.61684
"498","SLC19A2",0.50549,0.65331,0.05743,0.05132,0.03329
"499","SLC22A23",0.09392,0.03497,0.51979,0.57662,0.50418
"500","SLC25A32",0.39376,0.54397,0.50773,0.07744,0.03314
"501","SLC2A10",0.37951,0.45722,0.0119,0.6737,0.0145
"502","SLC34A2",0.72148,0.71834,0.00189,0.44039,0.69687
"503","SLC35C1",0.62535,0.44456,0.46392,0.04794,0.04293
"504","SLC35F2",0.53497,0.62565,0.46192,0.32253,0.04313
"505","SLC39A8",0.6833,0.68755,0.02406,0.49121,0.62701
"506","SLC40A1",0.78073,0.68073,0.49868,0.67538,0.00397
"507","SLC43A2",0.45176,0.45369,0.0411,0.24802,0.53633
"508","SLC43A3",0.48669,0.37062,0.15499,0.00391,0.44189
"509","SLC44A4",0.79495,0.85104,0.48751,0.72454,0.00035
"510","SLC46A1",0.01181,0.09218,0.43174,0.39941,0.41714
"511","SLC6A8",0.03558,0.26221,0.63563,0.5561,0.61388
"512","SLC7A2",0.79846,0.78494,0.81891,0.77452,7e-04
"513","SLC7A8",0.31389,0.39028,0.41987,0.57988,0.00132
"514","SLC9A3R2",0.65345,0.55243,0.07403,0.01007,0.25783
"515","SLFN11",0.63717,0.57994,0.03707,0.42097,0.16802
"516","SLPI",0.24161,0.41387,0.01359,0.08448,0.44038
"517","SMC6",0.17264,0.03337,0.365,0.54092,0.31597
"518","SMCR8",0.49576,0.46909,0.13305,0.02448,0.4189
"519","SMOC2",0.04675,0.31394,0.07238,0.60165,0.37286
"520","SMO",0.15299,0.03777,0.30959,0.50454,0.57084
"521","SNRK",0.50856,0.45426,0.33842,0.03342,0.18412
"522","SOAT1",0.57715,0.62268,0.1987,0.00397,0.62378
"523","SORD",0.41418,0.13419,0.60617,0.39482,0.03452
"524","SOX10",0.43226,0.01807,0.03588,0.29949,0.67078
"525","SPAG5",0.02539,0.51219,0.38036,0.49019,0.58424
"526","SPATA20",0.46446,9e-05,0.42328,0.59285,0.62378
"527","SPDEF",0.78477,0.77365,0.30871,0.75414,0.00032
"528","SPOCK1",0.43185,0.02466,0.68616,0.76826,0.64426
"529","SPOCK2",0.16389,0.0337,0.67077,0.67455,0.68891
"530","SPOPL",0.48445,0.46936,0.26242,0.09027,0.01417
"531","SPR",0.56822,0.33006,0.14457,0.02934,0.18622
"532","SSH3",0.32415,0.00435,0.16522,0.50317,0.32386
"533","ST3GAL4",0.54493,0.51845,0.0119,0.39301,0.37642
"534","ST6GALNAC2",0.35804,0.01649,0.74004,0.7419,0.72906
"535","STAM2",0.41704,0.47256,0.27069,0.02708,0.01423
"536","STEAP4",0.73863,0.72507,0.72378,0.85618,0.03683
"537","STK39",0.3898,0.03487,0.69824,0.49751,0.18223
"538","SUMF1",0.18122,0.03235,0.39248,0.70743,0.30108
"539","SUSD3",0.76247,0.63459,0.8373,0.83953,0.00348
"540","SYBU",0.69148,0.68983,0.5158,0.23598,0.01702
"541","SYK",0.67251,0.67518,0.64909,0.56982,0.00847
"542","SYNJ2BP",0.20772,0.08679,0.06741,0.01969,0.21113
"543","SYNM",0.30937,0.01203,0.23738,0.61365,0.67056
"544","SYNPO2",0.30262,0.04451,0.77552,0.74729,0.72144
"545","SYTL2",0.61867,0.66436,0.65047,0.76693,6e-04
"546","SYTL4",0.852,0.98962,0.38008,0.41855,0.04794
"547","TACC3",0.01427,0.58684,0.32033,0.11893,0.32812
"548","TADA2B",0.43793,0.48469,0.04139,0.03649,0.02736
"549","TAF11",0.04106,0.48127,0.32595,0.29538,0.15137
"550","TAF9B",0.39186,0.47843,0.19763,0.0308,0.06442
"551","TAP2",0.53005,0.52753,0.25731,0.02955,0.20477
"552","TAPT1",0.43197,0.53922,0.3625,0.04139,0.03853
"553","TBC1D15",0.45612,0.53916,0.26573,0.03847,0.12218
"554","TBC1D9",0.18802,0.07199,0.45065,0.49826,0.01886
"555","TBX3",0.33726,0.39476,0.64719,0.53472,0.00493
"556","TCEA3",0.19844,0.01428,0.28787,0.63833,0.55081
"557","TCF19",0.55175,0.0066,0.47523,0.32861,0.58555
"558","TCF7L1",0.00177,0.19158,0.13,0.43762,0.63458
"559","TCTA",0.54032,0.37041,0.30711,0.04637,0.15446
"560","TET3",0.34356,0.61551,0.22523,0.00471,0.37449
"561","TFAP2B",0.37989,0.43576,0.73276,0.77378,0.0177
"562","TFCP2L1",0.59332,0.61377,0.00414,0.20963,0.55146
"563","TFF1",0.83848,0.83845,0.65631,0.84493,0.00252
"564","TFF3",0.77749,0.81207,0.98744,0.8678,0.00119
"565","TGFB3",0.47514,0.51485,0.21897,0.6574,0.00528
"566","THBS4",0.03596,0.30477,0.18017,0.61585,0.60651
"567","THSD4",0.58096,0.57594,0.22181,0.31412,0.00107
"568","TIPARP",0.3593,0.47967,0.13098,0.01396,0.36343
"569","TJP3",0.83104,0.81111,0.00086,0.41016,0.43185
"570","TLE1",0.49686,0.46087,0.2028,0.00919,0.16367
"571","TMC4",0.47772,0.57626,0.01715,0.15197,0.03367
"572","TMC5",0.86721,0.83557,0.32941,0.54149,0.0091
"573","TMEM205",0.01249,0.26967,0.22548,0.34159,0.33677
"574","TMEM25",0.1546,0.0225,0.35311,0.53268,0.32808
"575","TMEM30B",0.45901,0.20346,0.05025,0.22449,0.0452
"576","TMEM45A",0.33029,0.41394,0.01799,0.50047,0.47553
"577","TMEM62",0.53003,0.51213,0.57564,0.31836,0.03489
"578","TMPRSS13",0.67088,0.70073,0.00775,0.42272,0.20707
"579","TNFRSF1B",0.61908,0.65935,0.04466,0.46942,0.68313
"580","TNFRSF21",0.3638,0.44379,0.41561,0.00224,0.06433
"581","TNFSF13",0.4082,0.51369,0.02888,0.7701,0.4282
"582","TOB1",0.37468,0.42099,0.18004,0.01097,0.53016
"583","TOM1L1",0.63844,0.27545,0.2345,0.20985,0.02071
"584","TOMM5",0.02138,0.28667,0.43433,0.26957,0.31925
"585","TPX2",0.00477,0.55836,0.53513,0.58515,0.51523
"586","TRIM29",0.32702,0.00061,0.57984,0.54055,0.5778
"587","TRIM2",0.37975,0.41281,0.00311,0.18981,0.63403
"588","TRPM4",0.36794,0.49865,0.00564,0.01236,0.448
"589","TSPAN15",0.72766,0.71196,0.49201,0.47437,0.00402
"590","TSPAN1",0.49583,0.07078,0.49512,0.59364,0.02396
"591","TSPAN31",0.27386,0.02524,0.05293,0.38371,0.29934
"592","TSPAN33",0.52503,0.66905,0.00147,0.59724,0.68894
"593","TSPYL5",0.01148,0.10978,0.35131,0.29265,0.50308
"594","TTC39A",0.74479,0.74433,0.65626,0.80246,0.00127
"595","TTC7A",0.43656,0.33398,0.18718,0.00157,0.02695
"596","TTLL4",0.51114,0.26909,0.00057,0.54027,0.49087
"597","TTYH1",0.6343,0.66688,0.02118,0.21523,0.50466
"598","TUBB3",0.33318,0.0054,0.6265,0.53118,0.46712
"599","TUBB6",0.27892,0.04986,0.43406,0.47055,0.59809
"600","TYMS",0.05463,0.02104,0.4341,0.52944,0.55814
"601","UBD",0.68366,0.55842,0.02195,0.63038,0.09449
"602","UBE2C",0.001,0.28129,0.50693,0.58975,0.6347
"603","UBE2E3",0.20401,0.05249,0.29785,0.3137,0.0161
"604","UBR1",0.04145,0.09966,0.32892,0.29563,0.33627
"605","UBTD2",0.34292,0.4692,0.27343,0.01853,0.21736
"606","UGDH",0.36822,0.49844,0.4369,0.473,0.03667
"607","URGCP",0.53155,0.57631,0.24203,0.03812,0.42351
"608","USP13",0.35947,0.5503,0.01279,0.39418,0.46504
"609","USP6NL",0.31658,0.38142,0.03235,0.04059,0.25935
"610","UTP6",0.37784,0.42349,0.37289,0.0567,0.00778
"611","UXS1",0.46608,0.04585,0.24355,0.43839,0.23303
"612","VCAM1",0.49539,0.66109,0.01029,0.62541,0.52463
"613","VGLL1",0.59695,0.6235,0.02579,0.31866,0.71746
"614","VPS37B",0.37566,0.52082,0.16111,0.0119,0.3445
"615","WDR46",0.58096,0.47282,0.32846,0.21802,0.03109
"616","WDR77",0.26376,0.24889,0.28871,0.02283,0.09022
"617","WFS1",0.77327,0.48741,0.68187,0.53813,0.00234
"618","WNK4",0.83414,0.64573,0.51682,0.72781,0.03946
"619","XYLT2",0.19785,0.03391,0.54183,0.4135,0.58006
"620","YPEL2",0.27997,0.43762,0.02666,0.25905,0.37827
"621","ZBTB7A",0.22177,0.03838,0.2343,0.29951,0.2733
"622","ZDHHC18",0.26427,0.35039,0.095,0.14463,0.01553
"623","ZEB1",0.36703,0.71061,0.34007,0.01306,0.38501
"624","ZFYVE16",0.41984,0.02201,0.1028,0.12707,0.12204
"625","ZG16B",0.75509,0.74434,0.00057,0.21066,0.3974
"626","ZNF263",0.33559,0.47945,0.21143,0.23827,0.03
"627","ZNF385A",0.17385,0.0116,0.03915,0.5302,0.59256
"628","ZNF469",0.63885,0.65104,0.44202,0.03306,0.32664
"629","ZNF552",0.00597,0.40346,0.15476,0.31359,0.15659
"630","ZNF587",0.24353,0.22122,0.07825,0.01872,0.19136
"631","ZNF639",0.4523,0.60129,0.30407,0.0233,0.11205
